!	255_415
%	176
''	274
's	26
,	45_58_104_110_146_151_160_192_214_287_304_319_330_343_382_404_409_411_413_445_457_460_466
.	23_33_39_55_66_79_98_113_123_144_158_168_181_196_208_234_251_279_300_314_326_338_354_368_378_402_407_429_443_450_472
...	270_273
10	180_211
10,000	285
100	348
15.5	175
19	164
2.5	289
22	296
392	65
401	111_142
9000	416
?	134_464
``	271
a	3_30_37_75_119_150_153_185_189_193_249_359_362_372_439
aberdeen	201
ability	422
about	308_323
after	202
again	219
ago	89
aim	356
all	225
along	19
alongside	69
also	41
and	8_50_93_114_220_228_277_292_379_395_421
anti-bullying	366
any	13
around	386
as	16
at	327_347_426
back	207
background	420
be	2_29_35_62_72_198_216_222_236_259_267_268_281_306_317_321_345_370_384_397_447_451
before	48_53
begin	106
ben	9_25_34_60_70_197_303_425
body	133_157_170
bone	204
book	313
break	203
bully	322
burn	288
but	24_209_301
calorie	291
can	138
challenge	109_342
charity	367
could	391
couple	76
damp	4
day	47_52_212
different	32_419
do	393_406_468
drop	173
during	340
early	27
easy	238
effect	127_154
even	332
fact	57
fat	171
feel	184
fitter	187
flood	278
for	59_74_239_302_365
forest	441
from	174
get	309
go	122_414
god	254
gon	399_453
gump	442
have	118_128_130_148_162_172_293_423
he	17_40_80_83_95_105_107_116_206_215_221_232_258_262_266_280_316_320_324_331_335_344_355_435
head	377
health	97
healthier	195
hole	250
hospitalize	199
i	67_82_135_137_161_183_240_387_390_434_458_467
idea	374
imagine	140
improve	94
in	6_56_100_166_200_205_375
include	275
inspirational	449
into	310
it	1_147_235_369_394_396_405_456
jogger	15
join	424
just	178_210_371
kilo	165
kind	125_242
know	381
last	102
later	213
leaner	191
life	337
like	12
little	31
look	11
lose	91_163_233
lot	186_190_194
make	223
marathon	38_63_112_143_218
mean	136_459
mental	96
mile	78_230_286
million	290_363
miss	455
more	283
morning	5
my	156_169_253_376
myself	245
na	400_454
no	465
no.	64
not	139_307_392_398_469
now	115
obviously	448
of	77_126_243_248_298_361_418_431_438
oh	252_272
on	131_261
one	43_328_412
only	73_117
or	71_188
other	14
out	247_295
own	336
pair	297
people	385_417
phone	263
pick	244
point	329
portsmouth	7
pound	18_364
quarter	360
quite	149_152_237
raise	358
real-life	440
record	312
remarkable	108
remind	436
run	28_36_42_68_86_217_282
say	389
school	349
seafront	22
september	101
sexuality	325
show	264
small	373
smith	10
snow	276
so	182_339_471
some	430
speak	351
stage	428
stop	346_463
take	84_260_334
tell	81_433
than	284
that	49_54_231
the	20_46_51_141_226_229_256_311_341
then	99
there	383
they	432_437_446
think	470
this	61_129_305
three	87_408
through	269
time	227
to	90_121_155_177_241_350_352_357
trainer	299
try	333
two	410
um	159
under	179
up	85_224_246
various	427
video	257
wear	294
week	120
weight	92_167
well	403_444
wet	21
what	124_265
when	315_461
who	388
work	401
yeah	145
year	88_103
yesterday	44
you	132_380_452_462
younger	318
youngster	353
