%	141_182_402_499_514
,	149_162_202_222_304_322_335_426_493
.	13_27_44_74_90_109_115_133_139_157_173_191_218_244_262_288_311_326_340_370_387_403_419_436_443_445_465_480_515
12	409
13,000	136
16	455
2,000	478
20	513
200	390
4,000	473
50	417
80	181
83	401
90	140
?	333
a	59_103_193_211_235_257_271_374_397_462
about	180_477
africa	12
after	290_297
already	332
also	159
among	32
and	38_45_53_102_174_192_200_226_245_251_263_277_289_327_363_394_404_457_466
any	331
area	172
as	20_122
at	242_377_407_492_497
backgroundofmaybe	512
bank	73
be	16_48_56_68_77_78_95_119_144_167_186_198_249_270_314_342_353_383_389_406_414_431_439_459_486_490_495_505
best	18
biodiversity	127
botanic	83
botanist	92
british	52_71
burn	201_224
busy	440
but	28_158_282_348_481
by	80
cable	94
can	228
cassava	233
center	100
century	265
coast	10
collect	452_471
collection	475
compare	509
conservation	99
country	148
cultivation	204
cut	220
cycle	292
dependent	187
difficult	344_422
disappear	354_432
do	337
dry	230_358
east	9_369
else	153
endemic	145
especially	356
every	216
extinction	347_425_508
fallow	280
farmer	206
farming	190_197
fast	355
find	151_169_396_485
five	299
flora	40_50
for	234_264_416_454
forest	215_261_307_352_359_366
frequent	104
from	64
garden	84
global	463_511
go	250
grassland	310
group	386_488
grow	229
have	207_253_269_328_372_373_412_448_470_484
he	110
head	96
home	23
hot	128
humid	365
i	116_175
i.e.	150
in	3_41_58_130_154_170_320_360_367_450_467
ina	70
indian	5
involve	57
island	15_66_108
it	221_225_341_458
ithas	134
julian	113
know	19_121_339_350
least	408
lemur	26
lemurs	30
level	399
lie	2
like	302
live	31
london	89
long	279
look	376_491_496
lose	315_330
lot	194
low	275
madagascar	1_118_321_381_451_468_504
malagasy	54
many	160_163_316
marshall	114
maybe	472
maybe70	498
mean	117
most	36_243
move	209_255
new	212_258
not	268_338_413
now	287_435
nowhere	152
nutrient	248
ocean	6
of	11_24_34_88_97_106_124_142_164_183_195_214_260_317_380_392_400_461_476_500_503
off	7
on	85_188
one	123
only	168
or	232_237_239
outskirts	87
oversee	79
palm	379_393
part	460
patch	213_259
people	283_295
perhaps	17_135_293
period	281
plant	137
population	185_276
probably	179
problem	272
programme	464
project	60_76_375
prove	346_424
quickly	286_434
quite	285_433
retrieve	62_441
return	284_296
reverse	308
rice	231
rich	37
royal	82
say	177
scientist	55
see	415
seed	63_72_442_453_474
shift	203
slash	199
small	171
so	46_238_312_420_437_446
some	33
something	301
speak	111
special	385
species	138_161_166_319_325_391_410_479_502
spot	129
steward	93
store	69
subsistence	189
that	49_51_178_266_303_351_411_429
the	4_8_14_21_25_35_42_65_75_81_86_91_98_107_125_131_147_155_184_247_274_306_357_361_364_368_378_501
then	246_305
there	101_388_405
they	196_219_223_227_252
thing	430
think	428
those	29_143_165_318_323_421
threat	398
threaten	47_506
three	291_298
to	61_67_112_146_208_210_254_256_309_345_423_510
top	126
two	240
unique	22_324
vary	39
very	343_384
visitor	105
we	313_336_349_371_395_427_447_469_483_489_494
well	120_334
west	362
what	482
where	205
which	382
with	273_278_294_487_507
work	449
world	43_132_156
would	176_267
year	217_236_241_300_418_456
yes	444
you	329_438
