,	11_37_57_260_295_345_350_353_415
.	32_47_67_73_103_109_117_142_157_167_172_194_201_229_237_251_313_364_377_386_392_399_405_433_446_460_477_498
...	319_484
12	468
20	337
20-year-old	343
400	301_383_439
?	285
a	35_138_175_181_184_192_199_255_269_306_320_342_389_402
about	382_423_430
account	303_441
across	79
address	356
administer	20_81
adult	307_331_443
ahead	64_235
all	60_231_358_370
almost	59_230
also	454_474
amount	391_404
and	29_33_83_118_148_209_222_346_365_434_447_461
another	276_467
as	34_65_90_266_268
asia	70
at	100_151_186
be	4_49_75_85_113_122_197_211_241_263_311_317_327_341_359_375_380_388_397_401_426_427_438_466_475_481
best	8
breach	294
but	12_58_393_490
by	305_361
call	412
can	3_203
case	483
centre	102
chance	52
charge	418
choice	200
claim	368
close	123
closure	31
college	187
company	449
consider	264
cope	25
cover	281
curfew	112
curriculum	46
cuz	339
data	496
date	308
datum	424
death	136
decide	61_232
defer	54_219
detail	297_349
determine	179
do	170
e-mail	355
editor	71
either	204
enormous	403_495
escalate	131
ever	291
exam	2_99_169_207
examination	226
example	259
explicit	458
extra	86
far	114
find	421
finder	333_445
firm	363_407
follow	134
for	124_258
four	127
friend	332_444
from	115_275_442
full	225
gather	159
get	183_254
give	198
go	63_234
good	256
half	214
hall	156
have	22_23_105_121_145_310_326_357_374_395_409_473_487_492
help	164
hold	304
how	242
huge	321_390
if	252_479
impressive	267
in	6_18_88_132_178_286
indeed	191
india	246_279
indian	19_80
informal	147
information	373
internet	292
it	315_340_400
job	193
judge	248
july	133
just	265
kashmir	21_82
large	42_176
largest	290
last	336
leader	141
leak	312_376_413_428_476
life	110
local	152_161
log	348
logging	385
march	228
mark	257_274
matter	171
may	465
militant	140
million	302_384_440_469
miss	39
month	128
mosque	153
most	104
nerve-racking	5
next	227
nobody	491
normal	116
not	396
now	208_236_378_416_485
number	322
of	9_14_16_44_92_137_245_278_288_298_323_371_470
offer	50_146
on	41_213
one	238_287
online	432
only	210
or	154_188_190_218_429
other	457
out	40_422
over	334
own	451_455
part	43_177_277
password	352
past	126
people	324_419_486
place	89_185
plan	66
play	174
popular	139
prepare	108
process	221
public	155
pupil	93
report	72_367_410
rest	244
restriction	78
result	36_250
revise	166
same	273
sample	489
say	436
school	30_120
security	87_293
see	488_493
seem	316
set	497
since	129
sit	1_97_223
site	309_330_344_453_459
so	478
some	143_456
someone	253
source	414
south	69
special	101
still	76
store	360
struggle	106
student	17_162_182_196_270
syllabus	217_284
take	205
talk	381
teacher	144
ten	13
test	56_212
that	262_318_369_387_408_425_437_450_472
the	7_45_51_55_125_135_195_206_215_220_224_243_249_272_282_289_296_335_362_366_406_448_482
there	74_84_464
these	168
they	38_48_98_119_158_165_173_202_347_351_354_417_431_435_462
think	463
this	329_372_394_411_452_480_494
those	471
though	240
thousand	15_91
tight	77
time	10
to	24_53_62_96_107_163_233_300_420
together	160
tuition	150
turn	94
uncertainty	239
under	111
university	189
unpaid	149
unrest	28_130
up	95_299
use	328
usual	216
verify	398
violent	27
we	68_379
what	314
whether	180
who	280_325
whole	283
will	247_261
with	26_271
year	338
