%	300
'	625
's	254_288_322_369_459_638
,	12_85_150_157_165_167_175_206_408_475_667_794
.	23_51_65_95_109_127_142_178_198_222_235_252_283_297_311_314_334_373_384_404_430_452_481_487_509_532_545_555_567_579_610_631_663_684_702_714_738_755_774_785_809_837_851_854
1960	660
1970	662
20	299
23	504
a	28_38_76_134_200_276_306_337_343_378_414_427_443_469_499_512_552_652_691_696_707_787_807_832
ability	397
about	395_646_840
activist	359
after	806
again	170_172_174
agricultural	697
all	213
allow	743
americans	5
and	79_83_91_116_171_173_247_325_357_366_417_438_477_627_661_747
angela	281
anglican	796
announcement	460
another	332
answer	621
app	742
approve	802
argue	291
arlington	777
armed	465
as	18_20_61_122_133_188_352_426_695_706_814
ask	722
at	27_199_561_651_676
atrocity	674
augmented	740
authority	156
automatically	268
avenge	43
away	115
back	303
bad	418
bari	531
basic	450
bbc	486_852
be	16_25_59_87_106_226_336_377_400_413_521_550_560_571_581_594_687_704_760_812_848
bernie	179
between	345
bias	62
bigote	64
black	47
both	422_543
bring	242
britain	253
british	328
bruise	316
but	96
by	37_49_152_161_278_354_472_690_831
campaign	201
can	111_129_267
canada	799
candidate	191
carriage	541
catch	748
cemetery	779
center	709
certain	411
challenge	277
chile	641_666
chronic	447
church	797
civil	317
clinton	187_237
colleague	290
collision	537
colonia	677
colony	654
come	519_839
commit	675
commune	698
concern	100
condition	554
confidence	307
contest	379_420
corbyn	266_287_356_381
correctly	850
correctness	138
could	215_596
country	365_630_637
coworker	166
crash	501_566
creature	750
critical	553
current	263
dallas	33
dan	558
dangerous	80
dead	36
decent	587
decide	260
delegate	820_843
democratic	190
deny	147
deplore	672
describe	424
deserving	88
despair	8_815
digital	749
dignidadbut	678
diplomat	639
dismiss	117_131_151_158
distribute	473
divide	19
do	75_212_680
donald	232
doubt	389_844
during	710
each	608
eagle	282
ease	446
easily	382
effort	444_570
elect	401
enclave	686
end	600
endorse	183
endorsement	296
ensure	217
era	713
essential	479
ethnic	656
even	160
ever	399
existential	428
experience	146
extremely	761
fail	830
fairly	82
family	626
fellow	168
fight	416
five	32
follow	455
food	439_474
for	31_192_241_270_622_628
force	466
former	692
friend	164
from	233_484_726
front	540
full	513
game	732
gauck	669
gay	827
general	823
german	633_657_700
germany	679
get	619
go	573_734_766
goods	451
group	104
growth	392
guarantee	342
hampshire	205
hard	78_347_415
have	3_144_181_259_330_434_494_599_614_643_721_780_800_811_847
he	24_97_184_210_214_223_293_304_362_385_391_396_510_617_636_671
head	535
here	575
high-speed	534
hillary	186
hit	729
holocaust	716
hope	387
how	516_595
human	648
hunt	746
hurt	177
in	119_154_203_220_272_305_327_363_442_506_527_551_640_658_665_719_751_767_786
inappropriate	762
incredibly	77
injure	549
into	248_515_576
investigation	514
it	21_132_176_225_335_376_425_703_759
italian	489
italy	508
its	736_791
jeremy	265_355
joachim	668
job	81
johnson	559
key	592
kill	503
killing	45
know	67
labor	257_315
last	309_374_393
lead	470
leader	264
left	348
life	753
like	148
line	585_605
location	754
maduro	458
main	255
majority	71
make	781
maker	124
man	48
many	102_284_358_817
marriage	805_828
matteo	492
medicine	476
member	169
memorial	29_717_768
migrant	701
military	433_778
minister	403_491_613
minority	103
mobile	730
moderate	371
monday	462_836
monitor	436
more	370
move	454
mp	280_372
mr.	52_207_286_380
mrs.	236
museum	718_757
narrowly	801
nation	15
nazi	693
nazis	773
nearby	776
need	294
new	204
news	483_853
nicolas	457
night	578
not	17_58_92_112_681
november	221
now	568
obama	2_53
of	46_72_101_136_194_275_285_301_349_449_498_530_542_547_564_655_699_771_790_798_818_821
off	244
officer	74_694
officially	182
on	461_522_536_574_602_735_816_835
only	298
