%	565
's	275_322_608_699_826
,	20_59_63_85_88_240_308_313_343_405_423_428_452_464_554_560_642_684_693_791_797_805_811_820
.	22_27_50_76_82_94_104_109_116_130_142_166_186_201_207_231_258_292_298_328_332_354_365_393_414_449_482_509_531_536_569_596_606_631_659_682_706_720_724_730_746_758_769_788_801_828_834
12	309
15	439
19	306
1973	446
2-0	715
2003	281
2016	690
26-year-old	345
30	192
300	268
39	564
58	735
a	12_177_264_333_344_455_613_742_775_808
abuse	353
account	528
accuse	466_514
activist	474
after	232_266
aftermath	443
against	15_35_492
al-balawi	342
al-hadi	225
alex	721_829
ali	224
all	160
alleged	433
ally	641
almost	267
also	368
amend	614
americans	161
and	131_156_197_211_248_657_670_747
announce	598
another	92_170
antoine	789
appease	638
arabia	303
area	547
army	420
arrest	305
as	72_340_501
at	11_741_754
attack	173_215_260_318_375
augusto	460
authority	188_300
away	119
baghdad	185
balad	230
balance	658
bamford	203
bbc	537_835
be	9_25_30_74_78_84_133_140_163_168_169_195_270_293_296_357_430_454_465_513_587_651_726_752_761_782
beast	776
beat	708
because	583
before	625
belt	364
bin	223
black	41_55_152
bomb	172_234_317
bomber	210_339
bombing	278_395
brazilian	485
break	753
busy	285
by	43_563_714_784
call	407
capital	184
capstick	722_830
carlos	574
cause	159
celebrate	254
centre-right	609
champion	712_787
championship	796
change	636
charge	535
check	656
cheyre	427_451
chile	422
city	34_274_386_478
close	236
coca	553
cocaine	559
colombian	540
come	261
comical	817
company	524
complicity	468
concern	586_646
condemnation	400
congress	508
constitutional	618_680
controversial	484_809
conviction	350
coup	448
court	619_681
crop	581_605
cunha	511
cycle	751
dallas	19_66
david	202
day	49_381
dead	38
decision	578
deeply	164
defeat	412_765
defence	571
defend	819
democratic	655
demonstration	28
deny	533
detain	431
detonate	361
dilma	494
district	289
divert	516
do	665
dollar	519
dominate	783
draw	398
drug	352
earlier	147
eastern	391
eduardo	510
effort	410
eid	256
eight	102
emilio	426
enough	669
euro	689
explode	235
explosive	363
express	645
fail	652
far	668
festival	257
final	700_827
fire	26_75_250
first	807
fitting	749
follow	314
football	691_744
for	351_408_432_549_558_593_728_737_778
former	416
four	355
france	683_729
french	771
from	120_402_498_832
gate	239
