%	168_546
's	19_151_174_188_386_607_757
,	16_54_62_66_75_85_88_105_109_118_123_133_144_251_269_287_327_344_348_358_381_389_487_502_506_512_532_562_572_579_600_603_635_657_674_743_766_812_820
.	26_72_90_127_157_171_190_202_225_232_237_266_295_307_320_335_356_377_391_414_434_437_460_476_497_519_525_556_585_617_643_653_663_703_727_760_787_809_825_833_836
1.6	167
100	175
1992	306
2025	555
40	615
50	545
66	418
700	775
772	816
a	129_226_257_298_313_338_394_428_503_540_558_682_687_737_750_778_800
abidjan	680
about	8
academy	758_762
achieve	539
activist	243
admit	492
after	557_675
against	196
agreement	542
air	482
airbus	416
aircraft	496
airplane	401
airport	642
alarm	447
also	194_619_646
anbara	435
and	31_36_102_172_199_242_252_259_303_321_325_349_451_488_513_534_576_580_721_768_782
angela	214_267
announce	289
announcement	227
apart	250
arena	347
around	141
arts	767
as	312_574
at	640_754_794
attack	608_630_673
average	162
award	759
aware	710
bank	101
battle	239
bbc	204_524_834
be	6_61_80_97_206_216_228_234_244_280_297_323_367_507_514_515_623_626_627_648_672_708_715_722_772_789_814
before	185
begin	263_337
behind	353
believe	596
black	500
blame	647
board	413_421
book	688
box	501
brennan	592
bring	283_493
britain	18_35_150
british	192_210_801
but	91_477_654
by	99_473_554
cabinet	277
cairo	433
call	486
cameron	363
canada	533
candidate	314
capable	315
carry	604
cause	472
central	100
centre	807
challenge	218
championship	798
cia	590
circulate	723
claim	661
close	178
coast	669
cockpit	504
concern	7
condolence	690
confirm	407
consecutive	131
cope	68
corbyn	220_286_332_374
could	41
court	808
crash	403_422_511
criticism	748
cross-border	582
currency	89
damage	395_471_508
datum	443
david	362
day	132
degree	112
destructive	258
develop	581
director	587
distress	485
distribution	583
diversity	753
do	98
dollar	198
dow	159
down	284_494
during	427_457
e.u.	48_156
eagle	215_268
earlier	357_700
economy	15_60_117
egypt	400_481
egyptian	439
embassy	678_719
end	793
energy	549
equipment	453
ethnic	785
euro	201
europe	40
european	24
even	260
examine	393
exit	46
expect	229_245
experienced	299
expert	440
face	803
fairy	791
far	74_656
fear	253
federer	805
finance	103
flight	396_429_459
florida	699
focus	779
follow	17_149
for	63_128_221_292_372_384_650_691_799
from	398_430_522_551
front	466
fuselage	469
gay	665
get	544
global	14_59_116
go	390_455
government	302
green	552
group	491_599_659
growth	30
have	3_78_136_205_406_454_538_593_660_714_735
he	382_595_621_826_828
health	11
heaven	385
here	233
herself	311
high	474
higher	180
historical	541
hold	125
i	92
if	625
in	34_52_82_119_138_163_301_341_345_368_379_448_509_517_560_569_609_631_667_679_694_698_724_744_806_817_822
increase	567
index	177
indicate	110_444
industrial	161
intend	281_829
intense	339
intensively	352
interest	371
into	423
investigator	392
investment	32_568
invite	736_773
islamic	601
istanbul	641
it	365_771
ivory	668
jeremy	219_285
john	235_591
join	271
jones	160
journalist	51
kill	612
labour	212_240
lack	751
largely	67
last	186_404
later	264
lavatory	450
lead	255
leader	527
leadership	224_294
leave	22_154
level	183
line	584
london	173
long-term	10
lose	821
make	483
man	388_666_705
marcus	810
market	84_140
mass	273
may	254
media	343_726
mediterranean	425
member	742_783
mexico	535
militant	490_598_649
minister	104_278_361
minority	786
moment	65
month	405_702
more	351_613
morning	334
motion	764
motivated	832
mp	213_241
mr.	27_55_373
mr.brennan	618
national	370
nearly	774
new	741
news	521_835
nightclub	696
no	484_489_658_790
not	329_628_709
now	336
number	739
obama	2_28_56
of	12_39_275_316_410_464_467_479_528_547_588_684_689_730_740_749_752_763_784
off	456
offer	310
official	645
on	169_230_412_420_717_780
one	639
opportunity	33
opposition	211_304
organiser	729
oscar	732
other	452
ottawa	53_561
out	605
paris	431_518
parliament	380
part	463
party	223_249_319
people	419_616_776
perhaps	350
permanent	261
photograph	683
picture	713_765
pienaar	236
pilot	478
player	300
plot	629
popular	326
pound	193
power	578
preparation	95
presence	409
president	1
price	87_135
prime	360
public	346
publish	681_716
qualifier	802
rank	815
reach	184
reaction	81
rebound	137
record	738
recorder	397_505
referendum	189
renewable	570
repair	516
report	436
resign	376
resignation	274
respect	324
response	745
responsibility	662
rest	38
reunify	317
reverse	145
rise	166
roger	804
run	122_291
sake	387
say	4_29_57_364_383_441_462_536_564_594_620_670_706_733_770_827
scene	355
sciences	769
sea	426
second	130_499
secretary	108
see	79
sell-off	147
set	824
severe	747
shadow	276
share	134_176
she	290_296_308_318_322
shock	71
shooting	697
short	121
show	470
sign	686
similiar	636
since	305
slightly	179
smoke	411_446
so	73_655
social	725
solar	577
source	553_571
speak	49_378
split	262
state	602
states	531_634
stay	831
steady	126
stock	86_139
straight	823
strengthen	195
struggle	340
such	573
suffer	42
summit	559
supply	550
surprise	624
tale	792
team	331
tear	247
tell	207
temperature	475
tennis	797
than	181_614
that	96_148_208_279_402_445_611_711
the	9_13_23_37_44_47_58_64_70_83_94_111_115_120_142_146_155_158_164_182_191_197_200_203_209_222_238_248_272_293_342_354_359_369_399_408_415_424_438_442_449_458_465_468_480_495_498_510_523_526_529_586_589_597_632_638_651_676_692_695_704_712_718_728_731_761_795_818
there	5_788
they	461_537_548_563_565_671_685_707_734
think	93
this	333_701_755
though	328
thursday	231
to	21_50_113_153_217_246_256_282_375_432_543_637_746_830
today	265
treasury	107
tuesday	606
turkey	610
turkish	644
two	664
u.k.	45
u.s.	165_677
union	25
united	530_633
victim	693
violence	652
vote	20_152
we	106
website	720
wednesday	170
week	187
what	76
when	43
which	114
who	270_813
will	124_288_309
willis	811
wimbledon	796
wind	575
with	69_330_417_777
woman	781
world	143_520_819
would	366_566_622
year	756
you	77
