!	129_402
's	408
,	24_71_76_79_122_159_163_167_236_252_282_320_357_399_427_431_462
.	17_38_58_69_98_113_125_127_134_152_171_187_195_221_231_247_264_273_286_295_303_310_328_339_349_366_405_419_433_442_470
...	82_396
1970s	178
1980	432
2007	346
2012	348
28th	424
?	120
a	11_41_49_155_160_277_314_351_446_456
all	20
amand	436
and	34_73_92_99_196_211_213_222_255_287_318_347_371_438_443_452
antique	77
area	97
around	297
at	191_449
attaché	448
aware	362_385
back	290_414
bakery	70
bbc	355
be	2_19_32_40_60_90_101_105_154_226_233_241_250_276_313_331_342_360_368_377_381_384_393_445_455
beakons	54
bear	33_91_251
because	21
become	108_146
between	345
brecon	53
bring	93_253_413
but	165_169_274_383
by	181
candidate	29_239
careful	378_382
catherine	440
certainly	194
character	285
charles	435
clark	186_441
clearly	361
coffee	80
conservative	27_238
couple	330_407
cuz	458
demand	370
do	115_189_326_428
edge	47
election	9
excellent	161
express	271
eye	337
family	307
fillon	23_31_175_235_341_359_437
first	150
fond	415
for	197_417
forward	269
france	246
franois	30_230_234_291_340_434
french	7_28_111_149_190_216
fruit	72
go	136_202_256
good	400
grow	3
guess	133
guy	103
have	375
he	172_248_444
here	68_89_410
hi	397_403
hilt	294
historic	65
hope	319
i	59_132_135_223_321
in	5_10_14_36_55_95_176_207_217_259_350_411
indoor	66
interest	4
interesting	128
interview	353
it	18_367_420_430
john	398
jump	268
june	426
just	61
know	141_173_180_299_305
lady	85_151
le	205
like	422
look	421
maiden	183
make	117
mans	206
market	43_67
may	145
meet	138_229
memory	416
might	392
minister	344
misinterpret	394
morning	401
mrs.	358
name	184
national	50
next	110_148_243
nice	124
no	332
not	267_380_429
of	26_48_118_245_262_316_363_386_425_464
on	45_86
or	379_395
oral	215
other	460
over	203
park	51
parliamentary	447
part	261
paul	404
penelope	22_174_439_453
penny	185_454
people	296
person	158_281
president	112_244
presidential	8
pressure	365
previous	352
pride	317
prime	343
public	336
quiet	164
quite	369
raise	35
remember	467
reserved	168
resident	461
right	88
say	390
school	219_258
sense	315
she	153_182_188_201_208_228_265_275_288_300_306_324
shop	81
small	12_42_130
so	83_311
some	418_459_463
someone	139
sometimes	373
south	15_56
store	75_78
stranger	333
strong	166_170_280_284
student	162_457
studious	157
study	212
suppose	322
teach	214
that	100_119_225_232_323_372_388_391
the	6_46_52_64_87_102_109_142_147_177_192_198_218_237_242_293_329_335_364_406_423_450_465_468
then	179
there	1_220_312
they	304
thing	387
think	224
third	199_209
this	39_84_96_260
though	338
through	63
time	451
to	107_137_204_240_257_270_292_334_376
town	13_44
try	106
university	193
up	94_254
vegetable	74
very	123_156_278_279_283_301_308
view	272
villager	466
wales	16_37_57_263_356_412
wander	62
wedding	409_469
well	302_309_327
what	114
where	227
who	104_140_144
wife	25_249
will	289_325
with	354
woman	143
world	131
would	266
yeah	126
year	200_210
yes	121
you	116_298_374_389
