's	283
,	19_61_193_201_319_391_399_486
.	27_34_100_116_141_164_240_262_281_287_299_316_365_375_384_423_461_471_495_503_511_521_531_538_554_567
10th	81_99
2.5	87
2016	73_140
31st	139
a	7_46_110_266_285_404_436_449_478_515_525_559
about	182
achieve	311
across	492
activity	115
actually	413
affect	153_238_357
against	214
ago	518
airport	211
alert	246_346
all	11_91_320
along	225
also	402_488
american	49
americans	12
anastasia	29
and	69_82_95_165_203_275_310_341_366_406_438_514_548
announcement	437
as	305_307_427_448
at	483
attack	26_390_397
attention	454
attract	86
august	138
baretzky	374
be	36_83_102_109_132_135_149_167_180_191_212_221_233_247_251_254_270_347_350_353_356_360_382_412_442_451_466_477_524_533_558_563
before	387_394
begin	398
believe	377
blankly	414
both	556
bother	255
brandon	520
brussel	509
by	272_416
can	264
certainly	248
championship	163_295
churkina	30
cite	20
come	156_323_363_426
concern	181_231_335
concerned	443
consider	183
continue	96
could	108_237
country	420
course	143_178_318_440
dangerous	560
department	4_43_120
detail	33
directly	150
do	228
end	206
euro	72
europe	15_60_64_422_493
european	162_171_294_332_370
expert	372
extend	136
external	546
fact	474
factor	535_557
few	516
for	48_113_160_330
force	447
france	159_176_196_328_502
french	256_274
from	90_551
general	66
german	276
go	84_133_151_252_348_354
government	220
greatest	313
ground	261_530
grow	457_526
happen	482_494
have	5_31_44_121_127_179_232_292_497
he	376
head	13
heel	326
here	78_157_173_258_364
high	234_337
hit	304
i	462
ignore	415
impact	315
in	65_175_195_296_409_421_501_508_519
instability	490
intelligence	277
internal	552
isil	460
isis	291
issue	6_45_122_403
it	145_148
its	297
july	98
june	80
kick	76
know	229_289_431_470_513
labor	215
large	468
last	385
latest	185_244_344
law	216
learn	38
let	282
listen	267_286
lot	479
make	144_434
metro	202
million	88
moment	485
month	393
most	417
movement	491_527
no	428
not	51_452
now	37_242_342
obvious	146
of	23_142_177_187_207_317_321_327_418_439_459_480_536_545
official	172_257
on	79_129_259_279_324_528
one	540_564
or	54
over	16_92
particularly	174
pay	453
people	89
plan	58_361
possible	308_314
potential	24_111_154
potentially	210
prepare	329
push	224
railway	199
rather	467
real	383
reconsider	55
reform	217
report	411
ricardo	373
riot	500_507
risk	22_465_537_544_550
rt	28
say	104_128_271
security	371_446_543
see	192_472_489_498_505_542
service	278
sight	298
situation	561
six	392
so	117_241_424_522_555
something	168_249_351
soon	306
speak	368
specifically	62_74
start	77
state	3_42_119
station	200
strike	188_213_340
summer	18_68
surprise	429
take	265_284
target	112
terror	245_345_380_389_396
terrorism	114
terrorist	25
that	39_103_105_125_147_169_189_218_230_235_250_290_338_352_378_407_432_444_475_562
the	1_17_21_32_40_71_93_118_170_198_205_208_219_260_273_293_312_325_339_379_388_395_400_410_419_445_456_464_473_484_499_506_529_539_549
there	441_476_523_532
they	56_101_126_130_300_433
thing	481
think	463
this	67_106_123_161_166_184_236_243_280_322_331_343_425_435
those	358
threat	381_458_547_553
time	566
to	10_14_52_59_63_70_85_134_152_158_223_253_268_303_349_355_362_369_455_565
today	510
tourism	239
tourist	50_155
tournament	107_333
towards	204
travel	8_53_57
try	222_302
two	534
u.s.	401
unraveling	194
until	97_137
us	2_41
very	336
warn	9_408
warning	47_124_405
wave	186
we	35_190_227_263_288_367_487_496_504
website	131
week	209_517
what	269
which	75
who	359
whole	450
will	301
with	197_226_334
world	94
year	386
you	430_469_512_541
，	309
