%	801_811
''	122_771
's	69_196_237_381_423_459_579_599
,	9_44_78_81_111_133_139_149_156_244_259_271_302_334_363_369_408_417_439_491_525_567_586_602_630_704_752_766_806
.	11_33_57_73_85_121_164_186_199_222_240_256_262_292_314_328_343_358_379_393_405_428_450_481_503_509_544_549_597_644_687_699_716_720_740_772_793_813_823_826
1	810
11.5	19
20	747
22-year-old	550
33	570
7	800
``	86_764
a	45_89_101_145_161_172_223_272_307_400_526_536_728_732_756_761_786
about	18
abuse	585
accuse	529_580
advance	233
afghan	166
after	27_94
against	269_311_337_731
agree	15_36_130
agreement	102
air	375
akhundzada	192
alleged	613
allow	432
along	681
also	35_365_485_633
america	598
american	181_374
and	52_108_140_157_220_377_388_447_561_576_615_684_696_759
another	335
appoint	171
arab	367
area	758
around	315
arrest	719
as	193_724
at	216_535_745
attorney	604
authority	587
bacterium	819
bailout	23
banner	762
bbc	7_508_824
be	2_64_88_117_144_204_230_236_247_265_276_298_304_320_323_339_340_346_355_356_370_395_454_484_632_669_711_718_774_798_817
because	593
become	444_821
before	710
begin	768
beirut	258
billion	20
bind	371
black	533
border	331
both	557
bottle	686
bring	555
brussels	32
burn	675
business	392_446
but	112_150_303_462
by	67_180_372_556_713_781
campaign	679_788
cander	406
carolina	541_566
carry	677
case	629
castro	452
category	438
cause	818
center	703
centrally	425
charge	554_634
chilean	721
church	538
city	253_273_327_353
civilian	319
clash	658
clinton	260
collide	118_155
commander	294
communist	382_469
compel	619
continue	248_266
continued	70
control	280
convention	702
could	475
count	572_637
counterattack	310
court	643
crime	575_614
cuba	380_409_458
cuban	468
cut	790
deal	84
death	520_624
debt	40_148
decision	621
demand	47
democratic	361
demonstrator	645
department	512
detail	548
diplomatic	497
discussion	146
doctor	782
dollar	21
donald	647
down	799
drone	182
drop	778
dylann	523_551
eastern	228
economic	71_403
economy	427_461_483
education	733
eject	712
employ	448
england	784
entrance	751
euclid	79
eurozone	12
exceed	808
face	205_465_553_569
fallujah	255_270
fear	473
federal	559_571_628
fight	347
figure	795
finance	13_76
finish	135
firearm	577
first	132_137
follow	175_785
for	92_287_522_653
force	246_264_362
foreign	489
from	214_257_467_506
fund	24_56
gear	691
general	605
get	748
globally	816
go	299
gon	775
government	51_245_383_560_787
greatly	807
greece	26_68_93
greek	50_75
grenade	698
group	203_743
guard	715
haibatullah	191
hardliner	471
harm	618
hate	574
have	63_99_154_160_170_275_305_410_453_546_657
he	568_589_668_671
head	198
headquarter	357
hello	10
historic	537
hold	217_239_582_670_727
hundred	316_436
i	1
idina	545
if	123
important	90
in	22_31_39_42_126_218_226_242_332_399_418_434_539_626_640_661_689_738_783
inantibiotic	779
include	366_573
inside	325_700_735
international	54
interrupt	707
into	119
introduce	623
investment	490
iraq	221_243
iraqi	263_293
islamic	201_285
it	87_169_213_385_394_474_516
job	437
june	543
justice	514
key	46
kill	531
killing	177
kurdish	344
kurdish-led	224
last	424_430_494_542
late	28
latest	397_672
launch	306
lawyer	601
leader	174
least	746
legalize	386
line	225
loretta	606
lynch	607
macintosh	4
major	208
make	65
man	528
mansour	179
many	440
measure	110
medium	389
mexico	666
minister	14_59_77
moment	91
monetary	55
more	288_547
movement	195
mr.	708
much	96
murder	639
na	776
name	190
nature	610
new	173_197_665
news	8_505_825
night	29
nine	532_636
nominee	652
non-state	415
north	227_350
not	103
notice	765
now	100_158_411
number	308
of	48_178_254_281_309_317_351_402_420_441_496_513_530_564_581_594_611_638_664_744
off-limit	757
offences.he	578
