!	11
's	31_751_834
,	44_71_79_104_160_204_248_261_265_357_360_383_417_422_517_527_574_673_688_753_771_792_810_814
.	9_33_68_76_115_126_150_176_196_227_231_253_283_305_334_364_369_402_427_453_487_513_535_541_563_584_589_595_612_617_626_636_651_659_677_694_713_724_748_780_785_820_836_857_863
13	205
2000	349
250	506
391,000	378
40	239
5000	435
88,000	579
a	12_25_42_65_80_87_101_147_169_238_335_390_396_470_494_521_549_560_604_732_828_847_853
about	275
account	722
alberta	545
all	411
alone	356
already	167
also	307_430
although	161
american	245
and	62_134_210_216_224_250_263_298_323_474_609_646_668_698_707_776_850
angola	500
around	438_721
as	34_41_86_108_111_389_548_704_760_840
at	690
away	132
backing	140
baker	586
bbc	7_540_861
be	2_16_23_73_123_179_186_241_296_302_352_366_376_386_400_414_433_459_532_546_566_587_593_601_628_634_644_649_655_661_665_670_696_720_783_838_859
blacken	610
blaze	632
blunt	128
bring	91
britian	177_215_279_326
brutal	594
but	116_151_384_652
by	83_100_559
call	53
canadian	556
capital	746
case	289
central	769
challenger	114
change	27_421
chant	811
chief	213
choose	190
city	557_654
clear	125_629
climate	420
come	257
community	252
compensate	317
completely	533
concern	269
concrete	611
congress	734
consider	24
constitution	32
controversial	46
correct	50
corrupt	135
could	468_508
country	30_512_750
criminal	133
crisis	473
cute	391
dangerously	303
deep	268
defence	208_251
defenition	845
democrats	264
deplete	534
describe	547
destroy	645
detail	159
devotion	842
diminish	187_297
discover	353
disease	426
do	119
dub	82
duterte	38_78
eacap	581
earlier	514
emergency	530
emergent	482
end	730
entire	641
establishment	274
eu	282_288_333
eun	809_819
europe	217_300
european	194
evacuation	553
event	759
everything	618
executioner	88
extrodinary	790
faction	397
failure	55
far	155
feel	270
fever	466_498_524
few	157
fire	591
five	409
flag	779
fledging	854
flora	450
flower	775
for	164_318_551_723_831
foreign	211_222_246
form	59
former	47_206
fort	575
foundation	615
four-day	733
from	36_69_418_490_538_577
garden	392
gas	676
georgeton	491
global	522
go	625
government	61_149
habitat	423
hail	708
have	96_153_166_178_237_502_592_600_624_633_643_681_727_824
he	52_84_112_118_127_138_152_165_631
head	75
health	471_478
hello	10
here	365
home	623_703
house	621
huge	102
hunderd	761
i	1
idiot	663
if	188_329
in	197_221_271_292_408_455_499_637_744_852
include	358_441
ineffective	148
influence	220_291_324
intelligence	249
international	183_225
invasive	436
it	189_330_486_627
its	182
japanese	444
jeong-eun	755
job	122
john	228_781
jonason	74
jong	808_818
just	787
kill	503_689
kim	754_807_817
know	380
korea	726_805_833
large	679
last	354_582
laura	585
leader	752_806
least	691
leave	192_280_331
less	124
letter	199_236
like	259_443
live	816
local	714
long	815
lose	219
loss	320_424
man	13_81
manila	70
many	109_718
march	766
margin	103
mark	728
mass	552_605_742_848
maybe	395_620
mayor	48
mcmurray	576
mechantach	4
melt	607
merail	368
metal	608
meter	362
million	142
miracle	550
mobilization	849
more	347_504
move	63
native	449
nearest	113
nearly	106
neighbor	835
neighborhood	599
new	336_350_371
news	8_537_862
newspaper	203
next	18_648
no	671
nort	445
north	725_804_832
not	316_657
notley	565
now	377_434
nuclear	855
of	20_56_60_141_143_146_172_244_278_321_341_398_410_451_464_496_544_554_568_597_606_686_702_731_735_762_764_796_846
offer	156
official	136
oil	572
oklahoma	687
on	338
one	407
only	613
or	425_622_675
orchid	359
organization	479
other	511
out	701
outbreak	495
over	757
overhaul	171
paper	774
parade	743_791
parliamentary	66
part	639
party	738_778
pass	798
people	507_693_719_765_797
philippines	22_95
philippinoes	144
pillar	243
pink	773
place	290
plant	344_379_412_442
plat	322
pledge	168
podium	800
policy	158_212_223_247
political	174
politics	839
polling	105
possibility	277
power	672
preside	756
presidency	99
president	19_43
presidential	58
prevent	485
primere	543
professor	489
promise	129
put	448
pyongyang	747
rachel	564
radical	170
ravage	558
rebecca	367
red	777
reduce	602
relationship	311
religious	841
remain	616
report	230_337_404_520
republicans	262
resident	580
rip	700
risk	452
rival	85
rodrigo	37_77
roof	699
rule	737
sadiworth	782
safe	658
say	14_39_214_285_345_393_431_493_528_717
scene	822
science	382
scientist	429_454
secretary	209
security	472
see	825
send	827
several	678
shortage	463_526
should	256
signal	830
signature	233
smolder	667
so	154
soaper	229
some	596_638_662
spark	469
speak	567
special	310
species	351_413_437
spectacular	741
spokesman	35_163
spread	509
square	770
standing	184
state	685_712_856
states	458
station	716
status	340
step	483
still	656_666
stockpile	531
stocktakes	372
street	642
strike	682
stwerd	3
such	388
suffer	328
suggest	373
sweep	131_709
system	67_175
take	481
tall	363
television	715
terror	92
than	348_505
that	40_181_254_286_299_325_346_374_387_406_447_461_619_630_858
the	6_17_21_29_45_54_57_94_98_121_139_162_173_193_198_201_232_242_267_272_276_281_287_293_309_313_319_332_339_342_403_428_439_456_462_476_518_529_539_542_555_569_571_590_598_614_640_647_653_683_711_729_736_740_745_749_758_768_789_799_802_821_843_860
there	375_385_401_432_588_660_669_784
they	255_284_306
this	72_235_260_370_394_515_837
thousand	763_793_795
threat	416
three	361
through	710_767
times	202
to	15_28_93_130_191_200_234_381_480_484_510_603
today	826
together	258
tornado	680
totallitarian	851
towards	64
town	573
trade	226
trees	695
troubling	829
twice	107
two	488_692
under	415
underline	266
union	195
united	457
university	492
unpredictable	635
untouched	650
up-rooted	697
upon	794
urge	475
us	207_273_314_684
vaccine	467_525
vast	561
very	844
violent	705
visit	570
vote	110
vulnerable	419
wansui	812_813
warn	180_308_405_460
watch	788
water	674
waver	772
we	786_823
weaken	304
weary	145
weed	446
week	583
what	51_117_399
which	501_578_664
who	89_519
wide-spread	26
wildfire	562
will	185
win	97_137
wind	706
with	5_120_312_739_801
world	294_343_440_477_536
would	49_90_218_295_301_315_327
year	240_355_516
yello	465_497_523
young	803
