'	182_443_677
's	148_281_372_458_496_509_532_652
,	158_355_359_382_392_427_489_590_595_644_646_798
.	28_48_75_87_94_113_125_135_164_202_214_234_254_285_325_352_378_385_402_412_451_467_479_497_511_541_547_570_609_629_638_650_679_699_729_743_766_780_784_815_827_842_861_885_888
1600	858
19	776
1970	495
20	612
200	51
24	42
30	720
55	14
600	825
7th	98
`	438
a	23_65_101_152_175_246_356_441_503_527_689_700_753_794_822_880
after	44
against	229_706
ago	722_860
airstrike	20_74
al-abadi	192_211_241
aleppo	9_59
all	269
allow	577
almost	418
alone	112
along	417
already	576
also	640
america	401_566
american	137
americans	538
ancient	757
and	114_403_421_424_582_592_648_744_792_834_851_875
appeals	681
archaeological	796
archeologist	862
arrest	691
as	32_64_70_72_344_444_473
assassination	712
asset	272_301
at	12
attack	109_129_318
authorize	568
back	322_364
bagdad	157
bank	275
basic	675
bbc	513_546_886
be	16_36_53_89_96_108_116_133_174_204_217_227_244_287_288_309_395_408_469_486_499_575_606_616_635_663_773_805_838_867_876
bear	844
because	811
become	369
before	536
beleaguered	149
benefit	585_594
biden	141
big	504
bill	660
billion	306
bitch	442
blaise	697
blame	319
boehner	336_354_394_457
bomb	46
border	83_104
brief	153
bring	704_724
british	481
bronze	771_819
bryant	384
burkina	684
but	428_596_799
by	18_187_323
bypass	672
call	257
cast	470
century	791
cgt	654
charge	705
charity	80
circulation	841
city	7
civil	1_580_873
clash	621_639
coin	759_772_820
colombia	552_574
comment	460
commit	736
compaore	698_726
conduct	761
confront	197
connection	709
constantine	852
construction	746
continue	128
continued	183
correspondent	514
corruption	253
country	563
coup	719
couple	572
court	294_550_682_731
critical	206
cruz	343_366_453
cuba	488_531
deal	284
debate	664
defense	2
democratic	423
deny	607
describe	338
devil	348
die	57
digging	38
discovery	804
do	122
doctor	81_102
dollar	307
during	151_717_879
earnest	170
economy	535
effort	186
emperor	849
employer	671
error	738
erupt	641
establishment	478
european	519
everyone	420
expansive	410
expect	500
expert	801
far	605
faso	685
fellow	357
fight	220_252
finally	745
find	774
first	92_160_216_491
five	162
flesh	351
for	185_374_693_789
force	226
foreign	482
forget	878
form	579
formally	554
former	327_405_695
fourth	562
france	619_651
friend	426
from	379_544
frozen	270_299
gay	571
get	416
good	176_528
government	19_73_150_520
ground	223
group	30_201_321
haider	191
hammond	485_508
hand	310
havana	516
have	56_107_142_212_242_256_337_422_454_553_583_603_615_686_703_735_751_866
he	144_159_361_368_388_415_430_445_449_464_468_707
health	593
helmets	35
heritage	797
himself	471
hit	22
hoard	817
hopeful	341
horde	755
horrific	134
hospital	24_106_119
hour	43
house	167_332_377_406
huge	754
identify	213_243
if	367
important	599
in	4_58_60_161_273_276_317_349_400_409_448_487_506_515_540_551_564_573_618_620_636_642_665_683_708_748_775_840
incense	289
include	588
indication	177
inheritance	589
injure	617
inscription	846
inside	231
international	690
iran	255
iranian	271_300
iraq	147_195_233
iraqi	225
