'	151_180_227_818
's	22_194_313_439_450_641_652_849
,	2_68_77_84_141_164_170_206_213_242_280_335_407_430_589_754_767
.	10_29_42_54_59_102_122_153_181_196_203_226_249_261_264_293_297_318_354_380_396_416_424_463_484_498_521_540_546_582_612_631_644_654_688_706_710_724_743_776_782_809_831_852_871_887_894_897
12	472
13	428
2	275
2003	395
2011	694
2015	520
4	237
40	827
5	221_240
5-year	684
79	870
`	148_177_182
a	78_142_211_246_270_281_289_301_324_343_403_431_461_513_532_563_620_635_682_714_746_761_853
about	528_559_797
abuse	879
accuse	373
across	572
adopt	323
advantage	598
after	412
aged	869
all	33
already	322
also	482
always	501
american	27
and	91_123_204_250_443_576_603_757_774_792_803_888
announce	671_813
anxious	527
appear	494
apple	385_397_438
around	258
as	73_80_137
asylum-seeker	626
at	46_310_491
attack	165
australian	622
autonomy	764
await	96
badly	362
base	667
bbc	8_545_895
be	4_45_126_158_191_210_299_361_445_470_488_500_504_524_557_594_666_679_691_713_718_741_745_780_794_835_892
bear	719
beat	233_507
benefit	510
bernie	234
between	566
big	62_514
billionaire	155
block	130
blockbuster	534
boxer	79
breach	649
bryant	44_263
but	103_370_454_522_738
by	341_364_400_637
call	176_252_562
camp	886
campaign	49
campaigner	855
candidacy	260
card	188_195
cellan-jones	423
center	624
china	406_766_783_860
chinese	517_884
clapper	591
clinton	209
clock	339
close	619
closely	836
come	256_459
comment	845
commission	657
company	453
concern	796
conflict	565
congress	824
consider	17
constitution	653
contest	135_241
controversial	621
correspondent	421
country	287_312_651
court	643
create	692
crisis	292_334_602
crooked	178
culture	808
current	674
dalai	697
dam	316
deal	331
decision	98_633
delegate	116
demand	347
democratic	168
democrats	254
deport	893
describe	71
detention	623
dialogue	756
die	864
dip	399
director	550
do	92_215
do-or-die	143
donald	11_56_69
down	471_700
dramatically	306
draught	303
early	352
easy	781
effort	874
el	366
election	39_163_656
electricity	349
else	201
end	462
energy	291
engage	786
erosion	805
europe	611
european	574
evening	353
ever	441
exile	662_791
expect	730
expose	876
extend	607
face	300
facility	648
fall	390
favor	749
first	389_735_823
five	34_61_65
follow	537_634
for	25_99_146_274_348_579_625_681_838_856
force	152
former	229_703
forward	340
frankly	205
free	568_604
from	418_512_543_701
fundamental	564
gathering	833
get	199_220_525
giant	384
go	202_502
goal	762
government	267_320_375_660_789
ground-breaking	434
group	595
grow	446_795
guinea	615_640
guri	317
half	112_342
hard	505
harry	861
harvard-educated	715
have	13_173_190_198_268_305_321_360_386_436_458_496_554_596_670_678_812_863
he	15_30_81_89_104_124_131_172_374_556_561_673_702_725_727_739_744_815_872_891
headquarters	50
hello	1
help	285
higher	442
hillary	179_208
himself	18_72
hit	363
hold	37_821
holiday	866
honduras	868
hong	772
hour	344
human	857_877
hydroelectric	315
i	3_184_214
if	207
important	410
impose	269
in	32_51_64_133_236_350_391_405_465_516_519_586_610_661_668_693_720_790_825_859_867_881_883
include	336
increasingly	526
india	669_721
indiana	138
insurmountable	247
intelligence	553
into	447
investor	523
iphone	493_539
island	630
it	83_444_499_511_617_645
its	388_408_608_822
j.	57
james	590
jerry	5
jill	707
journalist	585
just	86
knock	87
kong	773
korea	811
korean	848
labor	885
lack	530
lama	698
last	427_467_478
later	890
lawyer	716
lead	248
leader	675
leonardo	294
level	309
lifelong	873
likely	167
lobsang	676_711
locate	627
look	159
lower	483
macao	775
maduro	357
main	314_486
major	302_841
man	212
manus	629
market	411
mcgivering	708
measure	283_327
middle	752
migrant	601
million	276
mismanage	377
moderate	747
moment	144
monastery	802
month	469_830
more	110_401_417
most	409_451
movement	569_605
mr	55
much	889
national	552_580
nearly	826
need	94_106_578
never	729
new	52_533_614_639
news	9_542_896
next	139_829
nick	43_262
nicolas	356
nino	367
nomination	121
nominee	24_76_169
non-violence	758
north	810_847
northeastern	35_66
not	93_216_779
nothing	200
now	16_455
nuclear	850
number	325
of	113_223_231_239_326_376_433_531_551_570_599_658_663_686_763_771_806_840
office	687_733
on	40_474_628_800_846_865
only	187
open	244
opponent	90
opposition	372
or	844
out	88_238
over	425
overcome	288
papua	613_638
party	21_819
path	132
people	571
percent	222_473
perhaps	145
period	477
phenomenon	369
pit	497
policy	842
political	704
pose	690
predicate	742
presidency	28
president	355
presidential	162
pressure	799
presumptive	23_75
primary	38
product	435_535
profit	481
program	851
public	277
purse	760
push	437
put	82_337
quarter	404
quarterly	392
reach	609
reappointment	740
reason	487
reduce	307_346
reelect	680
referee	101
refugee	723
refuse	784
remain	115
report	296_709
republican	20_120
result	508_880
revenue	393
right	558
rights	858_878
rival	125
rocha	295
role	705
romp	457
rory	422
round	737
ruling	636_816
sale	398_440_464_490_518
same	476
sanders	235
sangay	677_712
say	14_358_555_592_616_646_726
second	683
secretary	230
sector	278
secure	118
security	581
see	387
seem	156
series	432
serious	290
she	189_197_218_251_259
shift	843
sign	839
similar	768
since	394
situation	379
slightly	109
smit	6
so	243
so-called	751
speak	583
state	36_67_232
states	415_549
step	699
still	105
stop	149
such	136
supreme	642
surge	515
take	174_597
technology	383_420
temporary	282
term	685
than	111_402
that	456_489_672_770_777_814
the	19_26_47_74_97_100_114_119_147_154_161_166_186_192_224_228_253_265_286_311_319_333_338_351_365_371_378_381_413_426_448_466_475_485_492_529_538_544_547_567_573_577_587_593_600_632_647_650_655_659_689_696_734_750_788_798_804_832
there	793
think	185_217
three	468
tibet	664
tibetan	801_807
time	736
to	95_107_117_129_157_175_255_284_328_330_345_460_495_503_506_536_584_606_722_731_759_769_785_875
together	128_257
towards	160
trump	12_48_58_70_150
try	329
tuesday	41
two-day	271
union	575
united	414_548
up	245
upcoming	134
us	382_588
use	755
valuable	452
venezuela	298_359
venezuelan	266
veteran	854
voice	748
vote	225
watch	837
water	308
way	753
we	419
weather	368
week	140_273
well	183
what	560
when	695
which	304_509_665
who	85_171_717
will	219_618_778_820_834
win	31_63_108_732
with	7_60_332_480_787
within	765
woman	193
work	127
worker	279_817
working	272
world	449_541
would	728
wu	862
year	429_479_828_882
york	53
