%	696
's	100_143_368_386_516_717_765_841
,	86_97_115_205_210_305_318_331_346_844_852
.	29_50_60_72_92_123_134_151_167_189_203_224_242_261_275_295_299_328_362_384_409_427_432_444_464_492_501_504_527_548_575_598_609_630_646_676_691_705_722_739_756_760_770_801_814_835_857_860
12	378
13	695
18	380
20	183
2003	690
2012	327
27	832
300	233
4000	310
a	111_120_197_214_321_338_355_420_475_525_542_546_559_571_594_614_620_651_659_702_709_748_780_792_818
about	831
accounting	471
accuse	415
adrift	185_235
after	533_558_664
ago	704
agreement	547
ahead	45
aid	245_324_376
all	47
allow	374_455
also	117
amount	461
and	39_178_342_351_353_451_474_489_586_643_658_782
announcement	532_550
antoine	413
apple	680_716
appoint	752_791
area	383_823
arrangement	448
as	845_847
ask	746_785
assessment	339
assistance	391
at	239_308_593_806
attempt	543
authority	281_577
avoid	459
back	673
badly	159
ballot	9_85
bbc	502_858
be	7_14_24_53_62_89_137_149_154_169_182_192_231_258_265_312_422_429_478_590_603_616_708_751_763_784_829_854
bear	225
believe	774
besiege	266_313_382
between	449_641
big	101
bolz	758
brand	843
break	633
brother	776
bryant	52
business	799
but	116_363
by	73_267_314_653_694
campaign	56
campaigning	150
candidate	25
cape	580
carry	626_668
cast	8_83
cessation	370
charge	480
chris	430
civilian	588
clash	631
clinton	41_99
come	649
communication	596
company	453_457_795
compare	697
complete	356
complex	811
condition	345
confidential	442
contest	49_67_127
convict	500
cooperate	793
could	212_220_494
count	286
country	515
court	745_787
cruz	148_230
daraya	257_304
day	535
dead	592_602
decade	568
decent	215
defeat	114
defend	423
delegate	216_234
deliver	292
delivery	322
deltour	414
democratic	95
democrats	44
destruction	357
die	803
dip	711
dire	260
do	157_777
dollar	834
donald	37_187_222_237
dozen	819
drop	693
during	650
dutch	660
eight	584
election	12_553
employee	468
end	110
enough	520
even	179
executor	749
expect	15
extend	17
extremely	259
face	479_495
fall	685
far	71
ferry	666
file	443
finally	334
finance	387
find	343
firm	472
first	684
five	3_48_162
food	350
for	26_42_64_270_289_619_747
force	269_317
forge	545
form	524
former	467
foulkes	297
fragmented	565
france	385
fraud	491
french	476
fresh	552
from	482
front-runner	22
full	768
future	837
gary	135
get	81_213
giant	679
go	69_399_743
gon	155_194
good	198
government	268_316_526
greek	637_655
haul	217
have	196_264_282_373_389_398_509_519_589_625_632_681_707_730_742_779
he	153_168_181_191_211_219_754_798_807_850
here	428
hillary	40_98
hilltop	595
horrifying	344
hostility	372
hour	663
however	204
hub	597
huge	460
hugely	855
humanitarian	250
if	218_499
imogen	296
in	2_10_46_58_77_105_138_160_164_172_176_200_206_226_252_306_325_402_497_541_554_567_578_635_686_712_788_812_821
indiana	139_207
information	418
interest	426_800
interior	611
involve	436
iphone	721
island	582_638
it	61_490_692
its	683
jail	498
journalist	421_477
june	555
just	662
king	506_528
know	737
lack	348
last	103_319_804
latest	31
law	485
lead	19_122_569
leader	540
least	309
leave	735
lesbos	640
licensing	838
long	572
luxembourg	403_450
luxleaks	407_434
main	144
make	129_337_530
man	396
manage	335
mean	551
medicine	352
michel	410
migrant	645_672
migration	656
million	833
mind	227
minister	388_612_657_661
minneapolis	813
minnesota	789
miss	621
moment	241
month	330_557
more	271
morris	431
most	564
mr.	141
multinational	452
music	851
musician	734
na	156_195
nations	244
near	354
need	341
nelson	741_762_771
new	106
news	503_859
next	208
nick	51
night	199
no	736
nominee	133
none	512
normally	90
northeast	166_202
northeastern	4_79
not	108_193_283_778
november	326
now	465
o'donoghue	136
of	20_113_126_174_186_236_256_303_323_340_349_358_371_379_394_416_439_441_462_469_507_513_536_600_624_639_670_715_725_839_849
offer	390
official	246
on	54_93_400_607
one	173_393
only	109_170_766
open	118
opinion	32
other	381
out	627_634
over	91_404
oversee	797
overtake	221
own	817
paisley	808
park	809
parliamentary	521
party	518_539
pass	417
pennsylvania	59_177
people	311
period	701
permission	290
personal	842
peter	757
philip	529
point	184
police	642
political	517_573
poll	33_560
pop	727
presidency	28
presumptive	132
pretty	158
pricewaterhousecoopers	473
primary	11_66_163
prince	729_764_802_840
produce	562
product	719
profitable	856
property	820
public	425_825
put	34
quarterly	687
race	88
range	481
receive	320
record	826
relief	293
repair	608
report	298_759
republican	36_145
request	288
respond	284
result	566
reveal	446
revenue	688
rival	146
round	125
sail	667
sale	714_848
same	700
sapin	411
say	247_278_366_412_510_583_613_731_772
scandal	408_435
search	615
second	171
secrecy	484
see	682
severe	347
shaky	369
sharp	710
she	130_773_775_783
shoot	591
shooting	629
should	128
show	827
sibling	769
side	96
signature	718
significant	375
since	689
singer	816
sister	724
situation	251
six	556
so	190
so-called	406
soldier	585_622
some	232_669
spain	508
spanish	604
stalemate	574
star	728
state	6_80_755
stone-throwing	644
string	112
studio	810
supplies	294
supply	361
support	522
survive	767
suspect	623
syria	367
syrian	254_280_301
syrina	315
talk	537
tax	447_463
technician	605
technology	678
ted	147_229
than	272
that	13_228_248_454_511_732
the	18_21_27_30_35_43_55_65_74_87_94_131_165_201_240_249_253_262_276_279_300_332_359_364_405_424_433_437_470_505_514_531_549_563_576_579_601_610_628_636_647_654_671_699_713_720_723_726_733_786_815_822_836
theft	438_488
there	180
these	78
they	84_175_445_493
this	70_124_287_329_706
those	161_456
thousand	440
three	273_395_587
time	75
to	16_23_68_82_285_291_336_377_392_419_458_486_487_523_544_570_674_698_744_750_753_790_796_828
tonight	152
town	255_263_302
trail	57
trial	401
trump	38_142_188_223_238
trust	794
turkey	675
two	466_534_599_665
tyka	740_761
un	277_333_365
unassailable	121
under	617
united	243
unrest	648
unusual	63
up	119
us	5_677
verde	581
victory	102
violate	483
visit	652
voter	1_76
water	360
way	618
week	104_209_805
well	846
where	140
which	307_561_824
who	397
will	738_781_853
with	538
work	606
worth	830
year	274_496_703
york	107
