%	361_431
'	760
's	81_233_350_613_767
,	33_48_74_144_154_158_196_274_316_402_448_514_518_607_694_726_743_780
.	28_45_53_110_125_164_191_228_248_269_286_327_342_353_372_380_392_407_414_436_441_478_481_493_509_539_564_584_611_630_660_678_682_690_715_740_790_793
12	512
125	595
1980s	693
2014	142_179
250	11_104
26	496
43	174
5	430
50	75_360
66	681
`	382_758
a	56_62_165_211_222_252_366_423_522_525_531_579_673_749_776
abroad	477
accord	29
account	603
across	737
activist	510
additional	12
advance	544
african	701
after	119_206_668
again	299
against	24_92_137
air	135_504
al-qaeda	558
aleppo	492_534
alexander	259
all	314
allegedly	761
allow	461
ally	133
almost	359
along	128
and	96_304_336_389_404_458_476_506_527_609_688_703_708_722_769
announcement	118
area	532
arrest	209
as	468_757
assess	685
at	474_494_741
attack	523
austria	232
austrian	272
austrians	315
band	718
bank	602
barack	6
barely	427
bbc	479_791
be	8_37_50_55_65_66_83_108_113_138_208_218_279_290_329_410_483_498_519_553_578_618_624_636_647_680_712_754_784
become	696
bedford	684
begin	134
belgium	772
belgrade	377
bellen	262
best	786
better	440
bicker	52
big	412
biggest	654
boot	71
brazil	612
brazilian	586_658
businessman	610
but	317_449_781
by	61_225_256_501_536_604
campaign	136
can	306
candidate	230_254
catch	745
center-left	409
center-right	344
child	517
choice	471
city	215_490_548_575
clear	331
coalition	131
coast	677
collapse	669
company	643
conclusion	201
confident	280
confirm	101
congolese	662
continent	739
continue	484
control	535
controversy	747
convince	293
corrupt	226_605
corruption	655
country	349
credentials	467
criminal	223
daughter	768
de	374
decade	629
decade.this	424
democracy	401
democratic	416
deploy	109
der	261
die	667
disappearance	172
discard	324
dismiss	199
do	319
dollar	597
dominant	698
during	521_672
eight	619
election	247_352
encourage	39
endorsement	367
enquiry	190
enrique	185
enter	434
escalate	486
eu	405
expansion	58
expect	114
expert	169_198
exponent	711
face	251
far-right	234_438
fare	439
fight	23_91
fighter	41_157
fighting	482
final	194
first	242
follow	210
food	526
for	297_386_400_420_472_560_762_773_787
force	82_542
foreign	601
freedom	235
from	46_572_639_731
further	103
gain	358
gang	224
general	766
germany	124
gifted	710
govern	418
government	183_457_503_541_587
greens	258
ground	153
group	27
guy	373
hamper	188
hand	219_556
hannover	122
have	100_180_239_311_333_378_452_543_552_570_577_623_635_646_666
he	249_278_281_390_393_466_679_686_717_744_782_788
help	88_160
here	49
history	659
hofer	238_276
home	475
i	287_298_305_322_332_337
identify	161
iguala	217
important	580
in	21_42_89_121_123_139_141_178_192_213_263_300_376_487_530_554_657_675_691_746_752_771_775
include	515
income	583
independent	253
influence	454
integration	406
international	168
into	545
investigate	170
involvement	774
islamic	25_94
it	289_328_357_381_426_591
its	189_369_706
ivory	676
julian	683
justice	614
kill	499_520
kinshasa	735
know	756
kurdish	156
la	724
langa	720_721
last	85_589
later	770
launey	375
laura	51
least	495
legacy	689
life	687
little	453
local	19
loser	413
main	35
major	384
make	116
manage	592
many	294
market	529
may	459
mean	321
member	76
mexican	175
militant	559
military	13_105_566
militia	20
million	596
ministry	615
moderate	473
money	634
month	268
more	40_379_421_621
most	709
mostly	155
movement	444
mr.	111_275_387_462
much	631
mukalla	550
music	702_789
musica	725
my	325_334
nationalist	443
network	779
news	480_792
next	267
nieto	187
norbert	237
northeastern	43
not	320
now	97
obama	7_112
objective	36
of	59_77_132_167_173_184_216_231_244_362_368_491_533_549_557_582_632_650_652_700_705_734
off	599_638
official	2_32_99_200_606
oil	642
on	149_151_271_455_524_670
one	651_704
only	470
operation	80
over	220_626
panel	166
papa	664_713_727
parliament	435
parliamentary	351
party	236_346_417
pass	428_445
past	562
pena	186
people	497_513_777
performance	674
personnel	14_106
petrobras	644
pioneer	707
police	227
politician	608
port	574
position	335
possible	291
potential	162
precious	628
preliminary	354
president	5_63_310
presidential	246
principle	326
prison	750
pro-eu	370
progressive	345_391
protest	212
rebel	507_538_569
recover	625
reform	403
reiterate	307
reluctant	67
rely	148
remember	785
repatriate	594
report	195
represent	313_365
result	355_396
right	736
round	243_303
run-off	265_285
sa	383
say	3_181_277_394_511_567_588_616
scandal	656
second	302
send	10_69_84
sentence	751
september	143
serbia	343_419
serve	748
several	516
shell	508
show	397
significant	57
simply	460
singer	663
siphon	598_637
sleep	763
smuggling	778
soukous	695_730
sound	699
source	581
southern	547
speak	270
special	79
stage	671
stance	371
state	26_95_641
stick	339
strengthen	465
strike	147_505
subject	649
suburb	733
suggest	356
support	18_255_399
syria	16_44_73_140
syrian	489_502
take	729
talk	120
target	163
teacher	177_205
television	273
than	422_622
that	4_102_202_308_318
the	22_31_34_78_90_93_117_126_130_146_152_171_182_193_197_203_214_229_241_245_257_264_284_301_309_348_363_395_408_411_415_429_437_446_456_469_488_537_546_555_561_565_568_573_585_627_633_640_648_653_661_692_697_732_738_765
then	755
there	500
they	207_341_450
think	288
this	54_617
threshold	432_447
time	425_620_742
to	9_15_17_30_38_68_72_87_115_159_221_292_295_312_340_433_464_485_593_600
trainee	176_204
trong	398
troops	60_150
two	442
us	1_70_98_127
van	260
vegetable	528
very	330
victory	385
viva	723
vote	266_296_364
vucic	388_463
washington	47
wemba	665_714_728
what	145_753
which	551_576_645
who	64
will	107_250_323_338_451_783
win	240_283_347
with	129_716_764
withdraw	571
would	282
year	86_563_590
yemeni	540
zaiko	719
zaire	759
