'	37_43_526
's	255_372_531_546_824_829
,	90_118_258_280_418_588_631_644_757_821_842_846
.	12_16_44_57_65_106_112_133_141_163_174_185_207_222_245_249_272_303_342_375_399_414_431_446_471_497_500_517_540_571_605_627_651_659_689_722_750_776_792_817_840_861_864
1	706
1000	795
14	785
28	637
40	452
57	15
70	75
80s	25_79
90th	811
`	30_39_523
a	93_124_179_214_241_251_323_336_350_362_441_459_486_583_616_649_733_738_762
about	332_385
accelerate	568
access	772
across	800
against	765
agency	702
agreement	363_417
ahead	239
aid	570
airstrike	555
album	71
all	561
allow	601
also	404_421
alum	129
american	2
amount	600_735
and	38_52_76_156_202_294_312_567_597_620_779_783_802_827_848
andrew	164
appeal	226
appear	98
apple	769
argument	263
article	252_286
artist	96
as	29_121_123_359_454_522_615
ascertain	509
at	7_62_158_552
attacker	721
back	61_348
bangles	117
barack	259
bbc	498_862
be	14_34_47_81_110_137_170_187_210_266_287_315_322_390_397_405_422_433_473_483_581_613_624_647_657_798
beacon	796
become	682
before	751
bernardino	720_789
biggest	85
bill	584
birthday	812
black	95
britain	289_801_828
british	228_337
bureau	696
business	268
but	392_556_669
buy	347
by	77_188_485_529_715
cancel	54
car	412
card	847
career	64
carmaker	371
castle	839_857
ceasefire	566
celebrate	809
cellphone	713
challenge	261
claim	764
code	755
comey	727
commit	425
committee	547
commonwealth	807
community	220
compensation	395
concern	328
concert	56
congress	587
consider	625_648
consumption	654
continue	198_514
corvette	42
could	313
country	456_676
crack	753
crime	650
criminal	626
criminalize	658
cut	437
daily	256
damage	291
david	58
day	103_442_453
de	519_558
december	791
decision	528
department	368
departure	338
detail	384
device	775
die	6
diplomatic	524
director	691_725
disenchanted	683
dismiss	521
do	275_306_381_730
dollar	708
drought	461
drug	667_688
earlier	841
early	24_102_539
economically	293
economy	480
effort	664
elizabeth	816
emission	373
enrique	575
entire	285
envoy	504
eu	341
european	237
explicitly	279
export	495
extraordinary	111
fall	488_671
fame	22
famous	192
fan	142_173
far	189_836
farook	778
fbi	724_759
federal	695
feel	329
few	94
first	70_834
fix	413
flamboyant	18
flower	849
for	182_451_505_594_602_641_742
four	439
francisco	380
from	49_166_339_443_467_837
fund	426
gain	771
gather	146
geneva	549
give	383_406
gon	211
government	554
gram	638
great	180
green	429
hack	710
half	349
hand	844
have	5_46_145_196_213_225_314_321_344_410_463_482_578_661_670_681_699_760_797
he	8_13_45_63_69_80_107_113_131_134_154_186_209_274_320_400_508_580_660_729_780
health	51_618
here	201_206_221
herself	820
higher	544
hillside	152
hit	27_115_484
home	9_155
hour	440
how	386
humanitarian	569
hydroelectric	469
i	31
if	298
implication	282_334
in	10_23_72_87_100_147_161_243_250_330_355_378_477_489_550_677_787_790
increase	598
influence	217_296
initiative	629
intensify	553
internationally	297
intervention	311
into	672_711
introduce	435
investigation	698
iphone	749_767
issue	619
it	299_472_752
its	353_468_493
itself	292_756
james	726
jon	246
judge	377
june	244
justice	367
kill	784
last	74_135_139_450
late	138
latest	475
launch	761
law	668
leave	178_302_536_548_855
legacy	181
legal	763
legalization	591
liberalize	666
light	799_832
limit	464
line	673
little	40
live	200
longest-serving	830
longlasting	216
look	60
lose	295
love	36
main	494_532
make	309
maker	768
marijuana	593_610_640
mark	324
meas	653
medical	595
meet	859
member	541
mexican	573
million	351_707
minneapolis	11_162_167
mistura	520_559
monarch	826
more	317_704_793
most	191
mr	557_606
mtv	105
much	316_387
multi-million	127
music	89_108
musician	19_193
na	33_212
need	307
negotiation	512_545
news	499_863
next	444_515
nieto	577_608
no	267
not	276_382_623_646_731_835
nuanced	318
o'connor	120
obama	224_260
obviously	208
of	83_92_104_126_130_143_235_240_253_269_283_325_335_352_361_409_438_492_542_592_634_639_692_697_717_805_813
offer	345
oil	496
oldest	825
on	150_218_687
one	82_91_716
oppose	663
opposite	153
opposition	533
opt	231
option	408
other	675_803
outage	448
output	109_466
over	369
own	132
owner	388_402
paisley	159
park	160
part	234_360_804
party	741
pay	391_703_736
peace	511
pena	576_607
people	786
personal	603_642
plant	470
poor	50
pop	88
possession	633
posturing	525
power	436
precise	734
present	845
president	223_305_574
previously	662
price	491
prince	4_144_177
profound	327
promote	428
proposal	630
propose	589
protest	551
public	168_617
purpose	596
queen	815_819_852
radio	169
rain	149
recently	53
red	41
referendum	242
region	679
regularly	99
release	68_136
remain	233
renew	564
report	248
representative	534
require	423
reveal	732
risk	290
run	125
san	379_719_788
say	176_277_393_401_507_579_609_728
scandal	374
scene	205
see	614
selling	128
send	582
setback	476
severe	460
sharp	487
she	175_854
shot	782
should	612_622
side	562
sillito	59
sinead	119
singer	3_67
so	278
software	744
sopel	247
sovereign	831
special	503
spring	20
staffan	518
star	86
state	184
states	358
stop	656
struggle	457
studio	157
substantial	398
such	28
suffer	48
suggest	700
support	203
swanson	165
syed	777
syria	506_530
talk	538
technology	430
telegraph	257
than	705_794
that	194_197_264_288_319_462_510
the	1_17_66_73_78_84_101_116_148_151_172_183_190_204_219_236_262_270_281_304_326_333_340_356_365_370_376_394_407_416_447_455_465_474_478_490_501_527_537_543_565_572_586_590_599_628_632_678_685_690_693_701_712_718_723_743_748_754_758_766_774_806_810_814_818_822_833_851_856
they	411_860
third	740
this	265_284_310_652
though	273
to	21_97_199_227_230_232_301_308_346_424_427_434_535_563_585_636_665_709_737_746_770_773_808_850_858
today	254
two	55
un	502
under	415_458
unidentified	739
union	238
united	357
unlock	747
up	635
urge	560
us	271_366_694
use	604_611_643_714_745
user	621
vehicle	354
venezuela	432
venezuelan	479
very	215
volkswagen	343
vote	300
voter	229
vw	419
wan	32
war	686
washington	331
we	195
week	445_516
well	122
well-wisher	843
when	853
which	481
who	680
wife	781
will	389_420_449_513_645_655
windsor	838
