%	323_348
'	23_116
's	60_125_368_436_554_679
,	109_137_192_210_219_223_261_301_313_334_354_391_396_449_488_505_507_589_642_663
.	25_62_66_99_132_155_183_187_244_283_311_327_331_360_366_382_408_439_443_466_493_512_526_539_569_586_615_634_659_693_696
1/4	307
1237	114
1989	359
2014	390
50	347
90	322
a	33_54_72_96_106_129_198_215_253_264_268_293_309_419_531_540_581_661
abortion	604
about	51_57
activist	542
add	263
administration	387
after	49_80
against	535_684
agent	550
aim	600
allow	421_447_499
almost	321
american	545
amnesty	288_341
and	104_221_278_315_452_483_490_509_562_566_632
anti-abortion	541
any	241
approve	379_418
arabia	317
army	618_636
around	281
arrive	201
as	32_177_580
association	492
asylum	174_208
at	596_601
attack	582
automatically	120
ban	520
base	385
bbc	365_694
be	30_45_127_159_194_213_248_292_318_399_530_591_606_673
beat	140
behind	86
belief	438_482
bernie	138
bill	497
bisexual	508
blow	74
body	613
boko	627_645
bryant	471
busch	441
business	422_455
but	110_211_262_392
by	105_340_344
california	548
call	669
camp	622_641
campaign	39_79
cede	374
center	574
century	310
change	255
charity	451
choice	126
church	448
citizen	584
claim	175_209
clinic	599
clinton	144
comment	50
commission	158_247
commitment	680
community	538
compare	349
conflict	432
contender	3
controversy	48
conviction	485
cope	225
corridor	672
council	381
count	117_319
country	168_197_237_407_692
couple	216_429_462
cruz	11_59_68
current	190_259
cut	151
daleiden	571
damian	184
david	570
deal	205
delegate	115
deliver	71
democratic	135
department	555
describe	578
discrimination	502
disparage	55
distribute	279
do	147
donald	21_77
down	401
dramatic	294
dublin	179
either	252
empower	388
enable	652
erode	17
establish	620
establishment	84
eu	196
europe	282
european	157_171_246
execution	298_338
exercise	668
exist	276
fairness	265
fetal	612
film	564_595
first	200
footage	565
for	35_304_320_402_500_575_623
former	644
from	363_543_551_572
front-runner	20_142
gary	63
gay	504
get	85
givering	329
good	404
government	372_678
governor	410_469_514
grammaticas	185
greece	220
grounds	465
group	287
handle	173
haram	628_646
harder	131
hardly	240
hateful	533
have	12_29_44_69_238_373_417_519_558_619_649
he	122_473_527_560_590
highest	356
hillary	143
hold	454_480
home	561
human	285
hundred	227
if	430
in	4_40_47_133_169_202_243_296_593_608_639_660_674_687
include	53
increase	295
individual	487
inevitability	94
information	568
injustice	534
insurgency	686
international	289_342
internationally	395
into	656
involve	592_607
iran	312
islamist	386
it	193_398_431_529_579
italy	222
its	162_355_677
jillmc	328
journalism	585
justice	557
know	176
last	299_332_587
later	181
law	420_446_476
lawful	501
lead	24_103_154
leave	214
lesbian	506
lgbt	537
libya	367
life	658
likely	249
line	675
little	148
lot	130
magic	113
make	121
mar	46
margin	108
medical	576
member	624_647
military	665
mississippi	416_525
modest	254
moral	484
more	270_305_345
most	303
mr.	36_58_100
must	204
nation	218
national	370
never	393
new	445_516
news	362_695
nigeria	617
nomination	98
non-essential	521
normal	657
northeast	689
now	70_128
number	336
o'donoghue	64
of	95_217_228_230_308_324_337_405_411_415_486_503_515_547_556_611_625_690
on	463_583
operation	670
option	272
or	267
organization	489
other	236
overall	153
owner	435
pakistan	314
parenthood	598
part	614
party	83_124
past	42
people	231_511
personal	567
peter	440
phil	470
planned	597
policy	191
power	375
preserve	257
presidency	380
presidential	7
previous	352
primary	16_136
private	491
privately	453
progress	577
protect	478
protection	233
protester	494
provider	605
provision	266
race	8
radical	271
raid	559
reach	111
recognize	394
record	297_339
reform	164
refugee	199_242_280
refuse	424_457
regulations	180
rehabilitation	621
reintegrate	655
religious	437_450_464_481
remark	56
remove	563
repent	631
report	65_186_330_442
republican	2_19_82_468
result	28
reverse	91
review	161
right	286
rise	343
rule	277
sad	532
safe	671
sale	610
salvation	371
same	427_460
sanders	139
saudi	316
say	290_397_472_495_528_549_637_666
scrap	274
second	269
secret	594
sect	629
see	31
seek	232
seeming	93
self-proclaimed	369
senator	9_89
serve	426
service	458
sex	428_461
she	152
show	602
sign	474
significant	73_107
significantly	150
since	358_389
sincerely	479
some	235
state	414_518_522_546_553
statement	662
step	400
still	102
suggest	163_251
surrender	633
system	260
take	239
ted	10_67
test	34
texas	88
than	306_346
that	203_212_256
the	1_5_14_18_26_41_76_81_87_92_112_123_134_141_156_166_170_178_189_195_245_258_275_284_302_325_335_351_364_377_383_403_406_409_412_434_444_467_475_496_513_536_544_552_573_603_609_616_626_635_640_643_664_667_682_685_688_691
there	291
they	207_653
this	146
though	145
thousand	229
to	75_90_149_160_165_224_250_273_376_423_425_456_459_477_524_651_654_681
today	182
total	326_357
training	650
transgender	510
travel	523
tripoli	384
trump	37_78_97_101
trumps	22
un	378
under	188
union	172
us	6_413
war	683
way	167
week	43
which	118
while	234_638
who	630
whose	38
wife	61
will	498_648
win	13
wisconsin	15_27
with	206_226_350_433_676
woman	52
world	361
would	119
year	300_333_353_588
york	517
